id,居住地,性別,年齡,年齡組,教育程度,職業,婚姻狀況,媒體習慣
44,宜蘭縣,女,70,65歲以上,專科,退休,已婚,LINE、Facebook
45,新北市,女,30,25–34歲,碩士以上,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
46,高雄市,女,66,65歲以上,大學,家管,已婚,LINE、Facebook、Instagram、TikTok
47,高雄市,男,77,65歲以上,大學,退休,未婚,LINE、Facebook
48,屏東縣,男,56,55–64歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok
49,高雄市,女,34,25–34歲,高中(職),家管,未婚,LINE、Facebook、YouTube、TikTok、WeChat
50,臺中市,女,42,35–44歲,大學,家管,未婚,LINE、Facebook、YouTube
51,雲林縣,男,15,15–24歲,國中,事務人員,未婚,LINE、Facebook、Instagram、TikTok、小紅書、WhatsApp
52,新北市,女,31,25–34歲,專科,服務/銷售,未婚,LINE、Facebook、Instagram、TikTok、Telegram
53,南投縣,男,36,35–44歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、WhatsApp
54,南投縣,女,68,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube
55,嘉義市,男,55,55–64歲,大學,家管,未婚,LINE、Facebook、YouTube、Telegram
56,臺中市,女,67,65歲以上,高中(職),退休,已婚,LINE、Facebook、TikTok、小紅書
57,臺北市,女,31,25–34歲,大學,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
58,高雄市,男,73,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
59,新北市,男,34,25–34歲,國中,事務人員,未婚,LINE、Facebook、TikTok、小紅書
60,新北市,女,40,35–44歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp、Telegram、Tumblr
61,雲林縣,男,47,45–54歲,國中,技術工/勞工,已婚,LINE、Facebook、YouTube
62,臺中市,女,85,65歲以上,高中(職),退休,未婚,LINE、Facebook、Threads
63,新北市,男,54,45–54歲,大學,事務人員,已婚,LINE、Facebook、YouTube、TikTok、Telegram
64,宜蘭縣,男,71,65歲以上,碩士以上,家管,未婚,LINE、Facebook、Instagram
65,新北市,女,62,55–64歲,國小以下,退休,未婚,LINE、Facebook、YouTube、Instagram
66,臺中市,女,59,55–64歲,碩士以上,技術/助理專業,未婚,LINE、Facebook、小紅書、Threads
67,高雄市,女,75,65歲以上,大學,退休,已婚,LINE、Facebook
68,臺中市,女,46,45–54歲,專科,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
69,臺中市,女,73,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube
70,新北市,女,28,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、X(Twitter)、Pinterest
71,彰化縣,男,66,65歲以上,專科,退休,已婚,LINE、Facebook、Instagram
72,金門縣,女,71,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、Instagram
73,桃園市,男,39,35–44歲,國小以下,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok
74,臺北市,男,83,65歲以上,大學,退休,已婚,LINE、Facebook、Instagram、WeChat
75,苗栗縣,男,30,25–34歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)
76,屏東縣,女,35,35–44歲,大學,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
77,桃園市,女,63,55–64歲,高中(職),家管,未婚,LINE、Facebook、YouTube、Threads
78,臺北市,女,55,55–64歲,大學,服務/銷售,未婚,LINE、Facebook、Instagram、Threads
79,桃園市,女,41,35–44歲,高中(職),專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、WhatsApp
80,臺北市,女,68,65歲以上,大學,退休,已婚,LINE、Facebook
81,屏東縣,女,44,35–44歲,大學,事務人員,已婚,LINE、Facebook、YouTube、TikTok
82,彰化縣,男,25,25–34歲,大學,家管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
83,新北市,女,57,55–64歲,碩士以上,事務人員,已婚,LINE、Facebook、YouTube、Instagram
84,新北市,女,48,45–54歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
85,高雄市,男,60,55–64歲,國中,退休,未婚,LINE、YouTube、Instagram
86,南投縣,男,46,45–54歲,國小以下,其他/待業,未婚,LINE、Facebook、YouTube、Instagram
87,臺北市,女,50,45–54歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書
88,臺南市,男,30,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
89,新北市,男,58,55–64歲,碩士以上,服務/銷售,已婚,LINE、Facebook、Instagram、小紅書、X(Twitter)
90,雲林縣,女,56,55–64歲,高中(職),事務人員,未婚,LINE、Facebook、Instagram
91,雲林縣,男,73,65歲以上,高中(職),家管,已婚,LINE、YouTube、Instagram
92,基隆市,女,26,25–34歲,國中,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、Tumblr
93,臺中市,男,65,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube、Instagram、WeChat
94,臺中市,女,26,25–34歲,大學,其他/待業,已婚,LINE、Facebook、YouTube、Instagram、WeChat、Threads、Pinterest
95,新竹市,男,48,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
96,桃園市,女,54,45–54歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、小紅書
97,臺南市,男,56,55–64歲,國小以下,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
98,臺南市,女,35,35–44歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)、Telegram
99,新北市,男,44,35–44歲,專科,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
100,新竹市,女,80,65歲以上,高中(職),退休,未婚,LINE、Facebook、Instagram
101,新北市,女,71,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube
102,臺中市,男,70,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、TikTok
103,臺北市,男,33,25–34歲,專科,技術/助理專業,未婚,LINE、Facebook、YouTube、TikTok、Threads
104,苗栗縣,男,61,55–64歲,國中,退休,已婚,LINE、Facebook、Instagram
105,苗栗縣,男,35,35–44歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
106,金門縣,男,44,35–44歲,大學,事務人員,已婚,LINE、Facebook、Instagram、TikTok、WeChat
107,南投縣,男,45,45–54歲,國中,農林漁牧,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WhatsApp、Telegram
108,彰化縣,男,48,45–54歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
109,高雄市,男,64,55–64歲,大學,管理/主管,已婚,LINE、YouTube、TikTok、X(Twitter)
110,高雄市,女,64,55–64歲,國中,退休,已婚,LINE、Facebook、YouTube
111,臺北市,女,20,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
112,臺南市,男,54,45–54歲,碩士以上,農林漁牧,已婚,LINE、Facebook、YouTube、Threads
113,新竹縣,女,54,45–54歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
114,新北市,女,82,65歲以上,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、小紅書
115,臺中市,男,26,25–34歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
116,新北市,女,50,45–54歲,高中(職),管理/主管,已婚,LINE、Facebook、YouTube、Instagram
117,高雄市,男,36,35–44歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Threads
118,新北市,女,17,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WhatsApp、LinkedIn
119,基隆市,男,57,55–64歲,高中(職),技術/助理專業,已婚,LINE、Facebook、YouTube
120,臺北市,女,52,45–54歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube
121,桃園市,女,64,55–64歲,高中(職),退休,未婚,LINE、Facebook、YouTube、Instagram、Threads
122,屏東縣,男,53,45–54歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
123,臺北市,女,76,65歲以上,高中(職),其他/待業,未婚,LINE、Facebook、YouTube、Instagram
124,新竹市,男,31,25–34歲,碩士以上,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、Snapchat
125,桃園市,女,42,35–44歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、Telegram
126,嘉義縣,女,71,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、Instagram、TikTok
127,桃園市,女,45,45–54歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram
128,高雄市,女,95,65歲以上,專科,服務/銷售,已婚,LINE、Facebook、Instagram、小紅書
129,桃園市,女,21,15–24歲,國小以下,其他/待業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書
130,臺中市,男,33,25–34歲,高中(職),專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
131,臺中市,男,41,35–44歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WhatsApp
132,臺北市,男,76,65歲以上,碩士以上,退休,未婚,LINE、Facebook、Instagram
133,新北市,女,50,45–54歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、Threads、Telegram
134,高雄市,女,34,25–34歲,國中,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、WeChat
135,新北市,女,47,45–54歲,大學,管理/主管,已婚,LINE、Facebook、Instagram
136,臺南市,女,58,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram、小紅書
137,高雄市,男,88,65歲以上,大學,家管,未婚,LINE、Facebook、YouTube
138,新北市,男,31,25–34歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、X(Twitter)、LinkedIn
139,臺中市,女,61,55–64歲,專科,退休,未婚,LINE、Facebook、Instagram、小紅書
140,臺中市,男,71,65歲以上,專科,退休,已婚,LINE、Facebook、YouTube
141,彰化縣,女,36,35–44歲,大學,農林漁牧,未婚,LINE、Facebook、YouTube、TikTok、小紅書、WeChat
142,高雄市,男,57,55–64歲,國小以下,事務人員,未婚,LINE、Facebook、YouTube、Instagram
143,高雄市,女,45,45–54歲,國中,專業人員,未婚,LINE、Facebook、YouTube、TikTok、X(Twitter)
144,新北市,女,44,35–44歲,大學,專業人員,已婚,LINE、Facebook、TikTok、X(Twitter)、Telegram
145,嘉義市,女,15,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、WhatsApp、LinkedIn
146,高雄市,男,52,45–54歲,大學,家管,未婚,LINE、Facebook、YouTube、小紅書、WeChat、Threads
147,桃園市,男,35,35–44歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、Telegram
148,桃園市,男,74,65歲以上,國中,退休,已婚,LINE、Facebook
149,新北市,女,22,15–24歲,專科,學生,未婚,LINE、Facebook、Instagram
150,新北市,男,20,15–24歲,高中(職),事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
151,新竹縣,男,20,15–24歲,碩士以上,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Threads、X(Twitter)、WhatsApp
152,臺中市,女,47,45–54歲,國小以下,專業人員,已婚,LINE、Facebook、YouTube、TikTok
153,臺中市,男,26,25–34歲,碩士以上,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
154,新北市,女,26,25–34歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、小紅書、Snapchat
155,新竹縣,女,22,15–24歲,碩士以上,技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok、WeChat、X(Twitter)、LinkedIn
156,高雄市,女,20,15–24歲,國中,學生,未婚,LINE、Facebook、YouTube、Instagram、Pinterest
157,新北市,女,39,35–44歲,大學,事務人員,未婚,LINE、Facebook、YouTube、Instagram、Threads、X(Twitter)、Tumblr
158,臺中市,女,16,15–24歲,高中(職),學生,未婚,LINE、Facebook、Instagram、TikTok
159,南投縣,女,61,55–64歲,國中,退休,未婚,LINE、Facebook、YouTube、Instagram
160,高雄市,女,53,45–54歲,高中(職),事務人員,未婚,LINE
161,新北市,男,67,65歲以上,專科,管理/主管,已婚,LINE、Facebook、Instagram
162,新北市,女,73,65歲以上,大學,退休,已婚,LINE、Facebook
163,苗栗縣,男,37,35–44歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube
164,彰化縣,男,17,15–24歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat、X(Twitter)、WhatsApp
165,高雄市,男,29,25–34歲,大學,其他/待業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)、WhatsApp
166,南投縣,男,67,65歲以上,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
167,新北市,男,72,65歲以上,國中,退休,已婚,LINE、Facebook、YouTube、Instagram
168,新竹縣,男,48,45–54歲,大學,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Telegram
169,高雄市,男,27,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、Instagram
170,彰化縣,女,32,25–34歲,國中,家管,未婚,LINE、Facebook、YouTube、TikTok、X(Twitter)
171,嘉義縣,男,33,25–34歲,大學,農林漁牧,未婚,LINE、Facebook、YouTube、Instagram、小紅書、X(Twitter)、Telegram
172,高雄市,女,82,65歲以上,國中,退休,未婚,LINE、Facebook、TikTok
173,桃園市,男,28,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Threads
174,新北市,男,44,35–44歲,大學,技術工/勞工,未婚,LINE、Facebook、YouTube、TikTok
175,高雄市,男,67,65歲以上,大學,退休,已婚,LINE、Facebook
176,臺中市,女,20,15–24歲,碩士以上,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Threads、X(Twitter)、Pinterest、Tumblr
177,宜蘭縣,女,62,55–64歲,高中(職),其他/待業,已婚,LINE、Facebook、Instagram、TikTok
178,彰化縣,女,50,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、TikTok
179,臺北市,女,51,45–54歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
180,臺北市,男,74,65歲以上,大學,家管,未婚,LINE、Facebook
181,臺中市,男,76,65歲以上,大學,退休,已婚,LINE、Facebook、YouTube、Instagram
182,金門縣,女,48,45–54歲,大學,管理/主管,已婚,LINE、Facebook、YouTube、TikTok
183,花蓮縣,男,50,45–54歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
184,新北市,男,39,35–44歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
185,基隆市,男,69,65歲以上,國小以下,退休,已婚,LINE、Facebook、Instagram
186,新北市,男,41,35–44歲,高中(職),服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
187,高雄市,女,36,35–44歲,國中,技術工/勞工,未婚,LINE、Facebook、YouTube
188,臺中市,女,25,25–34歲,專科,技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、Pinterest
189,新北市,女,47,45–54歲,專科,服務/銷售,已婚,LINE、Facebook、YouTube、TikTok、Tumblr
190,臺南市,男,81,65歲以上,國小以下,退休,未婚,LINE、Facebook
191,新北市,女,53,45–54歲,國中,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、小紅書、Telegram
192,臺中市,男,50,45–54歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok
193,新北市,男,70,65歲以上,高中(職),退休,未婚,LINE、Facebook、YouTube、WeChat
194,新北市,男,84,65歲以上,國小以下,家管,已婚,LINE、Facebook、YouTube、Instagram
195,桃園市,女,16,15–24歲,大學,學生,未婚,LINE、Facebook、YouTube、Instagram、WeChat、Threads、X(Twitter)
196,高雄市,男,60,55–64歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、Threads
197,高雄市,男,34,25–34歲,高中(職),技術工/勞工,未婚,LINE、Facebook、Instagram、TikTok、WeChat、Threads、X(Twitter)
198,新竹縣,女,62,55–64歲,專科,退休,已婚,LINE、Facebook、YouTube
199,臺中市,女,29,25–34歲,專科,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
200,新竹縣,女,30,25–34歲,專科,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
201,新北市,女,28,25–34歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)、WhatsApp、Pinterest
202,桃園市,女,54,45–54歲,大學,事務人員,已婚,LINE、Facebook、Instagram、X(Twitter)
203,新北市,女,19,15–24歲,國中,學生,未婚,LINE、YouTube、Instagram、TikTok、Pinterest
204,臺北市,女,82,65歲以上,專科,退休,已婚,LINE、Facebook、Instagram
205,彰化縣,男,47,45–54歲,高中(職),技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、Threads
206,臺中市,女,67,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
207,臺中市,男,38,35–44歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
208,高雄市,女,18,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、Threads
209,屏東縣,女,72,65歲以上,大學,退休,未婚,LINE、Facebook、Instagram
210,新北市,女,72,65歲以上,高中(職),退休,已婚,LINE、Facebook、Instagram
211,臺北市,男,36,35–44歲,大學,管理/主管,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
212,新北市,男,43,35–44歲,國中,服務/銷售,已婚,LINE、Facebook、YouTube、Instagram、TikTok
213,新北市,男,29,25–34歲,碩士以上,家管,未婚,LINE、Facebook、YouTube、TikTok、小紅書
214,臺中市,男,54,45–54歲,國小以下,事務人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
215,新北市,男,53,45–54歲,大學,專業人員,已婚,LINE、Facebook、YouTube、Instagram、TikTok
216,臺北市,女,37,35–44歲,碩士以上,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WhatsApp
217,臺中市,男,55,55–64歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat
218,桃園市,女,25,25–34歲,專科,事務人員,未婚,LINE、Facebook、YouTube、Instagram、X(Twitter)
219,臺南市,女,58,55–64歲,高中(職),家管,已婚,LINE、Facebook、YouTube、Instagram
220,高雄市,男,58,55–64歲,大學,專業人員,已婚,LINE、Facebook、Instagram
221,新北市,男,78,65歲以上,專科,退休,已婚,LINE、Facebook、Instagram
222,臺南市,女,32,25–34歲,大學,技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
223,臺南市,女,68,65歲以上,專科,退休,已婚,LINE、Facebook
224,臺東縣,男,43,35–44歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、TikTok
225,雲林縣,男,50,45–54歲,國小以下,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram
226,臺中市,男,31,25–34歲,大學,專業人員,未婚,LINE、Facebook、YouTube、TikTok
227,桃園市,女,30,25–34歲,國中,管理/主管,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
228,高雄市,女,41,35–44歲,高中(職),技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok
229,新北市,女,16,15–24歲,專科,學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、X(Twitter)
230,臺中市,女,27,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
231,嘉義市,男,49,45–54歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube
232,高雄市,女,69,65歲以上,高中(職),退休,已婚,LINE、Facebook、YouTube、Instagram
233,新北市,女,59,55–64歲,大學,服務/銷售,已婚,LINE、Facebook、YouTube
234,高雄市,女,38,35–44歲,大學,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Threads
235,臺中市,女,64,55–64歲,大學,退休,已婚,LINE、Facebook、YouTube、TikTok、WeChat、X(Twitter)
236,新北市,女,18,15–24歲,國中,服務/銷售,未婚,LINE、Facebook、YouTube、TikTok、小紅書、X(Twitter)、WhatsApp、Tumblr
237,花蓮縣,男,22,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WeChat、Threads、WhatsApp、Telegram、Snapchat
238,臺北市,男,65,65歲以上,大學,退休,未婚,LINE、Facebook、YouTube、Instagram
239,臺中市,男,39,35–44歲,高中(職),技術工/勞工,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、X(Twitter)
240,南投縣,女,44,35–44歲,高中(職),事務人員,未婚,LINE、Facebook、Instagram、TikTok、小紅書
241,高雄市,女,33,25–34歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat
242,屏東縣,男,37,35–44歲,高中(職),家管,已婚,LINE、Facebook、YouTube、TikTok
243,臺北市,男,15,15–24歲,高中(職),學生,未婚,LINE、Facebook、YouTube、Instagram、TikTok
244,高雄市,男,28,25–34歲,國中,家管,未婚,LINE、Facebook、YouTube、Instagram、小紅書
245,彰化縣,男,34,25–34歲,國中,事務人員,未婚,LINE、Facebook、YouTube、TikTok、Telegram
246,臺南市,女,40,35–44歲,大學,事務人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok、WeChat、Pinterest
247,彰化縣,女,50,45–54歲,專科,技術工/勞工,已婚,LINE、Facebook、YouTube、Instagram、小紅書
248,臺中市,男,52,45–54歲,大學,家管,已婚,LINE、Facebook、YouTube、Instagram、小紅書、WeChat、X(Twitter)
249,新北市,女,33,25–34歲,高中(職),技術/助理專業,未婚,LINE、Facebook、YouTube、Instagram、TikTok、小紅書、WhatsApp
250,桃園市,女,34,25–34歲,大學,事務人員,已婚,LINE、Facebook、YouTube、TikTok、小紅書、WhatsApp
251,臺北市,男,29,25–34歲,專科,專業人員,未婚,LINE、Facebook、YouTube、Instagram、TikTok
252,桃園市,男,83,65歲以上,高中(職),退休,未婚,LINE、Facebook
253,花蓮縣,男,22,15–24歲,大學,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok、X(Twitter)
254,桃園市,女,62,55–64歲,高中(職),服務/銷售,已婚,LINE、Facebook、YouTube、Instagram
255,臺南市,男,54,45–54歲,專科,專業人員,未婚,LINE、Facebook、YouTube、Instagram、Threads
256,彰化縣,男,36,35–44歲,大學,技術/助理專業,已婚,LINE、Facebook、YouTube、Instagram、TikTok
257,嘉義縣,男,52,45–54歲,專科,服務/銷售,未婚,LINE、Facebook、YouTube、Instagram、TikTok
